Galaxy,Distance_Mpc,Uncertainty_Mpc,Velocity_m_s,Uncertainty_m_s,Velocity_c,Uncertainty_c
NGC1832,24.8640000000000,5.75700000000000,2019672.55266518,428576.106772000,0.00673690247626302,0.00142957601278949
NGC2276,20.3900000000000,6.56200000000000,2488842.01747983,530569.468688229,0.00830188335651803,0.00176978924762753
NGC2798,24.8300000000000,5.21400000000000,1693293.79453324,469373.451538491,0.00564822012478127,0.00156566130672471
NGC2903,8.07000000000000,1.95600000000000,408177.434388754,163393.365789804,0.00136153336582188,0.000545021602210566
NGC3034,3.90700000000000,0.687000000000000,175224.595772085,52832.5614726097,0.000584486337451774,0.000176230455646118
NGC3077,3.65100000000000,0.555000000000000,264978.754258359,264978.754258359,0.000883873984109231,0.000883873984109231
NGC3147,39.6130000000000,8.94700000000000,2611234.05177931,530569.468688229,0.00871013923832369,0.00176978924762753
NGC3368,10.7810000000000,1.56600000000000,938542.916353146,204190.710556295,0.00313064218697972,0.000681106896145784
NGC3627,9.46400000000000,1.97100000000000,673360.175370950,183792.038173050,0.00224608777640080,0.000613064249178175
NGC4750,26.1000000000000,2,1558662.55680381,212350.179509586,0.00519913865479502,0.000708323954932803
NGC4775,16.2750000000000,7.31600000000000,1713692.46691649,244988.055322787,0.00571626277174888,0.000817192190081003
NGC5195,7.19600000000000,2.11400000000000,979340.261119638,489772.123921737,0.00326672748091494,0.00163370395369232
NGC5248,13.2470000000000,4.27100000000000,1089493.09198916,232748.851892832,0.00363415777454001,0.000776366601900413
NGC6181,31.6380000000000,5.30600000000000,2284855.29364737,326582.744855771,0.00762145688684194,0.00108936277795144
NGC6643,19.4000000000000,3.26700000000000,1387313.70878455,285785.400089279,0.00462758042026713,0.000953277484016222